Accession Id,Artist,Credit Line,Display Dimensions,Geometry,Location Description,Medium,Source,Title,Location
1995.18,"Acconci, Saitowitz and Soloman",Commissioned by the San Francisco Art Commission for the Waterfront Project.,2 1/2 miles X 5 feet,"(-122.4120591,37.8085303)",Public Display : District 3 : Embarcadero/Waterfront,"Black concrete, with a strip of glass blocks, to be illuminated at night",San Francisco Arts Commission,Promenade Ribbon,
1986.2,"Acconci, Vito",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"26 1/2"" H X 41"" W","(-122.389979,37.615223)",International Airport : T3 : Lower Level,Etching on Paper,San Francisco Arts Commission,Two Wings for Wall and Person,
2002.7,"Acconci, Vito",Commission for the San Francisco International Airport by the San Francisco Arts Commission,,"(-122.389979,37.615223)","Airport : International Terminal, transfer corridor",mixed medium,San Francisco Arts Commission,Light Beams for the Sky of Transfer Cooridor,
1977.33,"Adams, Gloria Cozzo",Purchased by the San Francisco Art Commission for the San Francisco International Airport,481/2,"(-122.389979,37.615223)",Airport : Business and Finance,Acrylic and ink on canvas,San Francisco Arts Commission,Cityscape #33,
1985.5.3,"Adams, Mark",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"84"" H X 144"" W","(-122.389979,37.615223)",Airport : Terminal 2 : Meeting Area,Flat weave wool tapestry,San Francisco Arts Commission,Garden Outside the Gate (The Garden Tapestries),
1985.5.2,"Adams, Mark",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"84"" H X 204"" W","(-122.389979,37.615223)",Airport : Terminal 2 : Meeting Area,Flat weave wool tapestry,San Francisco Arts Commission,Garden in San Andreas Valley (The Garden Tapestries),
1985.5.1,"Adams, Mark",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"84"" H X 96"" W","(-122.389979,37.615223)",Airport : Terminal 2 : Meeting Area,Flat weave wool tapestry,San Francisco Arts Commission,Pond in Golden Gate Park (The Garden Tapestries),
1902.1,"Aitken, Robert Ingersoll",Funds raised by public subscription.  Dedicated by President Theodore Roosevelt.,Figure: 12' H; Shaft: 83' H,"(-122.4075,37.7880556)",Public Display : District 6 : Union Square,Bronze figure on granite base,San Francisco Arts Commission,"The Dewey Monument (Admiral George Dewey, 1837-1917)",
1899.1,"Aitken, Robert Ingersoll",Commissioned in 1898 by the architect of the Music Concourse and Claus Spreckles.,20' H,"(-122.4666711,37.7703537)",Public Display : District 1 : GGP: Music Concourse,Cast Concrete,San Francisco Arts Commission,Spandrels on Spreckles Temple of Music,
1904.2,"Aitken, Robert Ingersoll",Funds raised by popular subscription,"bronze is 15' H, base is 72 3/4 X 72 3/4 ""","(-122.454557,37.771665)","Public Display : District 5 : GGP, Entrance to Panhandle","Bronze, granite and marble",San Francisco Arts Commission,William McKinley,
